City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Cleveland,US,2021-11-27 22:30:57,41.4995,-81.6954,37.58,80,90,8.05
221,Khawhai,IN,2021-11-27 22:32:55,23.3667,93.1167,44.62,97,33,3.33
222,Bandar,ID,2021-11-27 22:32:56,2.05,99.75,71.78,93,100,1.7
223,Brae,GB,2021-11-27 22:32:56,60.3964,-1.353,31.91,58,100,15.41
224,Bordighera,IT,2021-11-27 22:30:23,43.7806,7.6645,51.71,53,41,5.99
225,Neiafu,TO,2021-11-27 22:32:56,-18.65,-173.9833,84.88,74,40,11.5
226,Lakselv,NO,2021-11-27 22:29:13,70.0513,24.9718,6.62,78,90,21.85
227,Xining,CN,2021-11-27 22:32:57,36.6167,101.7667,28.76,38,20,1.7
228,Fortuna,US,2021-11-27 22:32:57,40.5982,-124.1573,59.92,88,1,9.22
229,Tahe,CN,2021-11-27 22:33:57,52.3333,124.7333,13.78,95,100,2.91
230,Zhuhai,CN,2021-11-27 22:33:58,22.2769,113.5678,67.71,73,0,12.66
231,Niamtougou,TG,2021-11-27 22:33:58,9.7681,1.1053,77.7,22,91,3.96
232,Purpe,RU,2021-11-27 22:33:58,64.4803,76.6897,9.21,96,99,8.66
233,Alice Springs,AU,2021-11-27 22:32:10,-23.7,133.8833,65.75,45,1,4.61
234,Souillac,MU,2021-11-27 22:33:59,-20.5167,57.5167,73.78,88,40,5.75
235,Flin Flon,CA,2021-11-27 22:33:59,54.7682,-101.865,26.44,59,20,9.22
236,Pecanha,BR,2021-11-27 22:33:59,-18.5486,-42.5569,60.1,99,99,2.33
237,Arlit,NE,2021-11-27 22:29:31,18.7369,7.3853,77.97,14,61,8.32
238,Doka,SD,2021-11-27 22:33:59,13.5167,35.7667,80.46,39,4,8.81
239,Saqqez,IR,2021-11-27 22:34:00,36.2499,46.2735,43.7,59,98,3.36
240,Chapais,CA,2021-11-27 22:32:44,49.7834,-74.8492,17.38,84,100,14.27
241,Tonstad,NO,2021-11-27 22:34:00,58.6626,6.7169,29.53,89,100,4.16
242,Kalemie,CD,2021-11-27 22:34:00,-5.9475,29.1947,69.89,78,59,2.82
243,Wodonga,AU,2021-11-27 22:31:22,-36.1167,146.8833,60.8,55,0,10.36
244,Ewa Beach,US,2021-11-27 22:34:01,21.3156,-158.0072,82.35,54,40,6.91
245,Ribeira Grande,PT,2021-11-27 22:34:02,38.5167,-28.7,61.93,65,69,9.42
246,Loreto,MX,2021-11-27 22:34:02,22.2667,-101.9667,69.6,31,100,11.99
247,Oum Hadjer,TD,2021-11-27 22:34:02,13.2954,19.6966,74.91,12,3,7.7
248,Nortelandia,BR,2021-11-27 22:34:03,-14.4547,-56.8028,78.62,79,100,0.4
249,Kharabali,RU,2021-11-27 22:34:03,47.4196,47.2568,36.43,79,100,9.71
250,Pavlogradka,RU,2021-11-27 22:32:15,54.2024,73.5592,20.19,90,97,15.14
251,Kavieng,PG,2021-11-27 22:34:03,-2.5744,150.7967,83.28,70,85,4.52
252,Yemelyanovo,RU,2021-11-27 22:34:04,56.1681,92.6767,22.01,79,100,6.71
253,Umea,SE,2021-11-27 22:34:04,63.8284,20.2597,13.93,100,75,5.75
254,Haines Junction,CA,2021-11-27 22:34:04,60.7522,-137.5108,-2.25,78,100,1.14
255,Aktau,KZ,2021-11-27 22:34:05,43.65,51.2,39.78,43,50,13.73
256,Kaitangata,NZ,2021-11-27 22:34:05,-46.2817,169.8464,59.61,51,36,3.47
257,Margraten,NL,2021-11-27 22:34:06,50.8208,5.8208,36.7,87,90,6.91
258,Bereda,ES,2021-11-27 22:34:06,43.2686,-7.5406,46.15,86,81,6.44
259,Russell,US,2021-11-27 22:34:06,32.3502,-85.1999,62.2,17,1,3.44
260,Kahului,US,2021-11-27 22:34:06,20.8947,-156.47,85.26,57,40,10.36
261,Eydhafushi,MV,2021-11-27 22:34:07,5.1033,73.0708,80.76,78,96,16.71
262,Aksu,CN,2021-11-27 22:34:07,41.1231,80.2644,27.37,61,2,4.32
263,Lagoa,PT,2021-11-27 22:34:07,39.05,-27.9833,60.71,64,88,10.31
264,Marystown,CA,2021-11-27 22:31:24,47.1666,-55.1483,47.43,84,100,8.72
265,Cabedelo,BR,2021-11-27 22:34:08,-6.9811,-34.8339,81.27,67,76,12.84
266,Miles City,US,2021-11-27 22:31:51,46.4083,-105.8406,45.57,53,1,3.44
267,Utraula,IN,2021-11-27 22:34:08,27.3167,82.4167,61.68,67,0,2.37
268,Alofi,NU,2021-11-27 22:34:08,-19.0595,-169.9187,80.49,83,93,6.91
269,Riyadh,SA,2021-11-27 22:30:17,24.6877,46.7219,64.54,36,3,6.42
270,San Policarpo,PH,2021-11-27 22:34:09,12.1791,125.5072,81.66,83,100,13.11
271,Rosignano Marittimo,IT,2021-11-27 22:34:09,43.4079,10.4729,44.73,77,94,15.5
272,Presidencia Roque Saenz Pena,AR,2021-11-27 22:34:09,-26.7852,-60.4388,83.41,30,0,6.67
273,Tigil,RU,2021-11-27 22:33:10,57.8,158.6667,-10.17,98,84,4.05
274,Vestmannaeyjar,IS,2021-11-27 22:34:10,63.4427,-20.2734,37.96,85,100,9.73
275,George,ZA,2021-11-27 22:35:10,-33.963,22.4617,60.35,88,90,4.61
276,Faanui,PF,2021-11-27 22:35:10,-16.4833,-151.75,81.64,73,13,14.83
277,Ambilobe,MG,2021-11-27 22:31:42,-13.2,49.05,75.69,89,82,1.19
278,Maromitsa,RU,2021-11-27 22:35:11,59.8683,48.0123,28.45,95,100,10.02
279,Salekhard,RU,2021-11-27 22:35:11,66.53,66.6019,-17.7,99,74,2.21
280,Bernal,PE,2021-11-27 22:35:11,-5.45,-80.75,74.37,58,54,18.16
281,Enumclaw,US,2021-11-27 22:35:11,47.2043,-121.9915,50.68,93,100,4.12
282,Namibe,AO,2021-11-27 22:35:12,-15.1961,12.1522,68.25,73,70,6.96
283,Woodland,US,2021-11-27 22:35:12,38.6785,-121.7733,67.95,52,40,0.0
284,Cabo San Lucas,MX,2021-11-27 22:35:12,22.8909,-109.9124,77.31,69,90,12.66
285,Pinawa,CA,2021-11-27 22:35:13,50.1489,-95.8811,29.17,89,100,12.5
286,Skjervoy,NO,2021-11-27 22:35:13,70.0311,20.9714,23.18,67,17,16.06
287,Coihaique,CL,2021-11-27 22:31:18,-45.5752,-72.0662,57.15,41,75,6.91
288,Tautira,PF,2021-11-27 22:35:13,-17.7333,-149.15,84.22,77,61,16.22
289,Tommot,RU,2021-11-27 22:35:14,58.9564,126.2925,3.45,91,100,9.53
290,Asosa,ET,2021-11-27 22:35:14,10.0667,34.5333,69.53,48,49,4.7
291,Tashtagol,RU,2021-11-27 22:35:14,52.7657,87.8894,24.08,69,100,8.21
292,Bayan,CN,2021-11-27 22:35:14,46.0833,127.4,18.48,88,22,6.42
293,San Antonio,US,2021-11-27 22:32:55,29.4241,-98.4936,53.62,85,90,0.0
294,Chokurdakh,RU,2021-11-27 22:35:15,70.6333,147.9167,-34.08,100,88,0.31
